"F","line","kind","raw_string"
"pages/etudes/devis/config/listing/columns.ts","11","status_label","Expiré"
"pages/etudes/devis/config/listing/columns.ts","6","status_label","Émis"
"pages/etudes/devis/config/listing/columns.ts","7","status_label","Négociation"
"pages/etudes/devis/config/listing/columns.ts","8","status_label","Approuvé"
"pages/etudes/devis/devis-detail/devis-detail.page.html","32","template_text","Émis le  · Valable jusqu'au"
"pages/etudes/devis/devis-detail/devis-detail.page.html","39","template_text","Total HT"
"pages/etudes/devis/devis-detail/devis-detail.page.html","39","template_text","Désignation"
"pages/etudes/devis/devis-detail/devis-detail.page.html","52","template_text","Total HT"
"pages/etudes/devis/devis-detail/devis-detail.page.html","54","template_text","Total TTC"
"pages/etudes/metres/config/listing/columns.ts","6","status_label","Terminé"
"pages/etudes/metres/services/metre-api.service.ts","78","error","Métré ${id} introuvable"
